"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"81",81,"INSTR_R_TR12","","nmfdOsiElbkau","standard","RR",0,"male","opaque","2018-08-17 13:51:59","0000-00-00 00:00:00",21,"f",5,0,0
"82",82,"R_TR12","","mfElbnOiskdau","standard","RR",0,"male","opaque","2018-08-17 13:59:45","0000-00-00 00:00:00",44,"f",3,0,0
"83",83,"R_TR11","","uldOmbiafnsEk","standard","RR",0,"male","opaque","2018-08-17 14:00:19","0000-00-00 00:00:00",41,"m",5,0,0
"84",84,"END","00084aTOpd","bnialsmEkufOd","standard","RR",0,"male","opaque","2018-08-17 14:01:54","2018-08-17 14:56:19",19,"f",5,5,4
"85",85,"R_TR12","","ndaumibOkEfls","standard","RR",0,"male","opaque","2018-08-17 14:03:37","0000-00-00 00:00:00",21,"f",5,0,0
"86",86,"EXPOSURE2","","EfasknimdbOul","standard","RR",0,"male","opaque","2018-08-17 14:05:09","0000-00-00 00:00:00",23,"f",1,0,0
"87",87,"EXPOSURE2","","mlOduiknfbsEa","standard","RR",0,"male","opaque","2018-08-17 14:05:46","0000-00-00 00:00:00",34,"m",5,0,0
"88",88,"END","00088ChaEw","OiuabmsdnklEf","standard","RR",0,"male","opaque","2018-08-17 14:07:43","2018-08-17 14:31:58",28,"f",5,4,4
"89",89,"END","00089SDUja","budEklmaisnOf","standard","RR",0,"male","opaque","2018-08-17 14:09:00","2018-08-17 15:00:09",28,"f",5,4,5
"90",90,"END","00090UCbZs","EOdslnkaimufb","standard","RR",0,"male","opaque","2018-08-17 14:10:59","2018-08-17 14:46:10",60,"m",5,4,4
"91",91,"END","00091CpvMX","EmisuOabkdlnf","standard","RR",0,"male","opaque","2018-08-17 14:11:10","2018-08-17 15:13:32",34,"f",5,3,5
"92",92,"END","00092VyIdc","kdnsmEfulibOa","standard","RR",0,"male","opaque","2018-08-17 14:29:43","2018-08-17 15:34:10",28,"f",5,2,5
"93",93,"START","","kiEbfslmaundO","dialect","RR",1,"female","opaque","2018-08-17 15:04:16","0000-00-00 00:00:00",0,"",0,0,0
"94",94,"R_TR11","","nbEsdiakmflOu","standard","RR",0,"male","opaque","2018-08-17 15:13:37","0000-00-00 00:00:00",32,"f",5,0,0
