participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
33,standard,opaque,picture,RR,male,27,f,English,5,5,5,2018-08-14T12:48:57Z,2018-08-14T13:20:21Z,1884s (~31.4 minutes)
34,standard,opaque,picture,RR,male,18,m,English,5,3,5,2018-08-14T12:52:54Z,2018-08-14T13:39:02Z,2768s (~46.13 minutes)
36,standard,transparent,picture,RR,male,20,m,Norwegian,1,3,4,2018-08-14T13:33:51Z,2018-08-14T14:18:13Z,2662s (~44.37 minutes)
36,standard,transparent,picture,RR,male,20,m,German,1,3,4,2018-08-14T13:33:51Z,2018-08-14T14:18:13Z,2662s (~44.37 minutes)
36,standard,transparent,picture,RR,male,20,m,Japanese,1,3,4,2018-08-14T13:33:51Z,2018-08-14T14:18:13Z,2662s (~44.37 minutes)
36,standard,transparent,picture,RR,male,20,m,French,1,3,4,2018-08-14T13:33:51Z,2018-08-14T14:18:13Z,2662s (~44.37 minutes)
36,standard,transparent,picture,RR,male,20,m,English,5,3,4,2018-08-14T13:33:51Z,2018-08-14T14:18:13Z,2662s (~44.37 minutes)
44,standard,opaque,picture,RR,male,21,m,English,5,5,5,2018-08-14T19:08:20Z,2018-08-14T19:53:12Z,2692s (~44.87 minutes)
44,standard,opaque,picture,RR,male,21,m,German,3,5,5,2018-08-14T19:08:20Z,2018-08-14T19:53:12Z,2692s (~44.87 minutes)
44,standard,opaque,picture,RR,male,21,m,French,4,5,5,2018-08-14T19:08:20Z,2018-08-14T19:53:12Z,2692s (~44.87 minutes)
44,standard,opaque,picture,RR,male,21,m,Spanish,2,5,5,2018-08-14T19:08:20Z,2018-08-14T19:53:12Z,2692s (~44.87 minutes)
45,standard,opaque,picture,RR,male,23,f,English,5,3,4,2018-08-14T19:53:11Z,2018-08-14T20:29:56Z,2205s (~36.75 minutes)
48,standard,opaque,picture,RR,male,26,f,English,5,2,4,2018-08-15T11:02:49Z,2018-08-15T12:33:18Z,5429s (~1.51 hours)
50,dialect,opaque,no_picture,RR,male,21,f,English,5,4,5,2018-08-15T16:35:19Z,2018-08-15T17:26:10Z,3051s (~50.85 minutes)
52,dialect,opaque,no_picture,RR,male,22,f,German,2,4,5,2018-08-15T16:57:54Z,2018-08-15T17:41:58Z,2644s (~44.07 minutes)
52,dialect,opaque,no_picture,RR,male,22,f,Danish,4,4,5,2018-08-15T16:57:54Z,2018-08-15T17:41:58Z,2644s (~44.07 minutes)
52,dialect,opaque,no_picture,RR,male,22,f,English,5,4,5,2018-08-15T16:57:54Z,2018-08-15T17:41:58Z,2644s (~44.07 minutes)
53,dialect,opaque,no_picture,RR,male,32,m,English,5,4,5,2018-08-15T16:59:03Z,2018-08-15T17:43:24Z,2661s (~44.35 minutes)
55,dialect,opaque,no_picture,RR,male,18,f,Spanish,2,5,5,2018-08-15T17:06:49Z,2018-08-15T17:51:32Z,2683s (~44.72 minutes)
55,dialect,opaque,no_picture,RR,male,18,f,English,5,5,5,2018-08-15T17:06:49Z,2018-08-15T17:51:32Z,2683s (~44.72 minutes)
55,dialect,opaque,no_picture,RR,male,18,f,French,1,5,5,2018-08-15T17:06:49Z,2018-08-15T17:51:32Z,2683s (~44.72 minutes)
58,dialect,opaque,no_picture,RR,male,31,f,English,2,4,5,2018-08-15T17:14:39Z,2018-08-15T17:56:29Z,2510s (~41.83 minutes)
59,dialect,opaque,no_picture,RR,male,20,f,English,5,3,5,2018-08-15T17:15:18Z,2018-08-15T17:51:58Z,2200s (~36.67 minutes)
59,dialect,opaque,no_picture,RR,male,20,f,French,3,3,5,2018-08-15T17:15:18Z,2018-08-15T17:51:58Z,2200s (~36.67 minutes)
60,dialect,opaque,no_picture,RR,male,60,m,English,5,5,5,2018-08-15T17:19:16Z,2018-08-15T17:52:46Z,2010s (~33.5 minutes)
61,dialect,opaque,no_picture,RR,male,29,f,English,4,5,5,2018-08-15T17:19:16Z,2018-08-15T17:43:00Z,1424s (~23.73 minutes)
61,dialect,opaque,no_picture,RR,male,29,f,Polish,5,5,5,2018-08-15T17:19:16Z,2018-08-15T17:43:00Z,1424s (~23.73 minutes)
65,dialect,opaque,no_picture,RR,male,18,m,English,5,4,5,2018-08-15T17:28:18Z,2018-08-15T17:59:01Z,1843s (~30.72 minutes)
66,dialect,opaque,no_picture,RR,male,18,f,English,5,5,5,2018-08-15T17:39:02Z,2018-08-15T19:34:18Z,6916s (~1.92 hours)
66,dialect,opaque,no_picture,RR,male,18,f,Spanish,1,5,5,2018-08-15T17:39:02Z,2018-08-15T19:34:18Z,6916s (~1.92 hours)
67,dialect,opaque,no_picture,RR,male,29,m,English,5,2,2,2018-08-15T17:39:49Z,2018-08-15T18:40:51Z,3662s (~1.02 hours)
68,dialect,opaque,no_picture,RR,male,26,m,Japanese,1,5,5,2018-08-15T17:51:08Z,2018-08-15T18:47:43Z,3395s (~56.58 minutes)
68,dialect,opaque,no_picture,RR,male,26,m,Spanish,3,5,5,2018-08-15T17:51:08Z,2018-08-15T18:47:43Z,3395s (~56.58 minutes)
68,dialect,opaque,no_picture,RR,male,26,m,French,4,5,5,2018-08-15T17:51:08Z,2018-08-15T18:47:43Z,3395s (~56.58 minutes)
68,dialect,opaque,no_picture,RR,male,26,m,Luxembourgish,2,5,5,2018-08-15T17:51:08Z,2018-08-15T18:47:43Z,3395s (~56.58 minutes)
68,dialect,opaque,no_picture,RR,male,26,m,English,5,5,5,2018-08-15T17:51:08Z,2018-08-15T18:47:43Z,3395s (~56.58 minutes)
71,dialect,opaque,no_picture,RR,male,55,m,English,4,3,4,2018-08-15T20:31:53Z,2018-08-15T21:07:44Z,2151s (~35.85 minutes)
73,dialect,opaque,no_picture,RR,male,30,f,English,5,2,4,2018-08-16T14:28:33Z,2018-08-16T15:11:13Z,2560s (~42.67 minutes)
75,dialect,opaque,no_picture,RR,male,36,f,Korean,1,4,5,2018-08-16T14:37:37Z,2018-08-16T15:46:01Z,4104s (~1.14 hours)
75,dialect,opaque,no_picture,RR,male,36,f,French,5,4,5,2018-08-16T14:37:37Z,2018-08-16T15:46:01Z,4104s (~1.14 hours)
75,dialect,opaque,no_picture,RR,male,36,f,English,5,4,5,2018-08-16T14:37:37Z,2018-08-16T15:46:01Z,4104s (~1.14 hours)
76,dialect,opaque,no_picture,RR,male,46,f,English,5,5,5,2018-08-16T14:41:41Z,2018-08-16T15:39:19Z,3458s (~57.63 minutes)
77,standard,opaque,no_picture,RR,male,21,m,English,5,4,5,2018-08-17T13:27:47Z,2018-08-17T14:32:02Z,3855s (~1.07 hours)
78,standard,opaque,no_picture,RR,male,19,f,English,5,4,4,2018-08-17T13:33:20Z,2018-08-17T14:20:00Z,2800s (~46.67 minutes)
78,standard,opaque,no_picture,RR,male,19,f,Welsh,1,4,4,2018-08-17T13:33:20Z,2018-08-17T14:20:00Z,2800s (~46.67 minutes)
78,standard,opaque,no_picture,RR,male,19,f,Spanish,2,4,4,2018-08-17T13:33:20Z,2018-08-17T14:20:00Z,2800s (~46.67 minutes)
78,standard,opaque,no_picture,RR,male,19,f,French,1,4,4,2018-08-17T13:33:20Z,2018-08-17T14:20:00Z,2800s (~46.67 minutes)
78,standard,opaque,no_picture,RR,male,19,f,Ilocano,2,4,4,2018-08-17T13:33:20Z,2018-08-17T14:20:00Z,2800s (~46.67 minutes)
78,standard,opaque,no_picture,RR,male,19,f,Tagalog,4,4,4,2018-08-17T13:33:20Z,2018-08-17T14:20:00Z,2800s (~46.67 minutes)
80,standard,opaque,no_picture,RR,male,57,f,English,5,5,5,2018-08-17T13:48:06Z,2018-08-17T14:46:44Z,3518s (~58.63 minutes)
84,standard,opaque,no_picture,RR,male,19,f,English,5,5,4,2018-08-17T14:01:54Z,2018-08-17T14:56:19Z,3265s (~54.42 minutes)
88,standard,opaque,no_picture,RR,male,28,f,English,5,4,4,2018-08-17T14:07:43Z,2018-08-17T14:31:58Z,1455s (~24.25 minutes)
89,standard,opaque,no_picture,RR,male,28,f,English,5,4,5,2018-08-17T14:09:00Z,2018-08-17T15:00:09Z,3069s (~51.15 minutes)
90,standard,opaque,no_picture,RR,male,60,m,English,5,4,4,2018-08-17T14:10:59Z,2018-08-17T14:46:10Z,2111s (~35.18 minutes)
91,standard,opaque,no_picture,RR,male,34,f,French,2,3,5,2018-08-17T14:11:10Z,2018-08-17T15:13:32Z,3742s (~1.04 hours)
91,standard,opaque,no_picture,RR,male,34,f,German,2,3,5,2018-08-17T14:11:10Z,2018-08-17T15:13:32Z,3742s (~1.04 hours)
91,standard,opaque,no_picture,RR,male,34,f,English,5,3,5,2018-08-17T14:11:10Z,2018-08-17T15:13:32Z,3742s (~1.04 hours)
92,standard,opaque,no_picture,RR,male,28,f,English,5,2,5,2018-08-17T14:29:43Z,2018-08-17T15:34:10Z,3867s (~1.07 hours)
95,standard,opaque,no_picture,RR,male,33,f,English,5,4,5,2018-08-17T15:37:14Z,2018-08-17T16:22:49Z,2735s (~45.58 minutes)
97,standard,opaque,no_picture,RR,male,24,f,English,5,4,5,2018-08-17T16:53:44Z,2018-08-17T17:58:03Z,3859s (~1.07 hours)
98,standard,opaque,no_picture,RR,male,48,f,Italian,4,4,5,2018-08-17T17:37:28Z,2018-08-17T18:29:07Z,3099s (~51.65 minutes)
98,standard,opaque,no_picture,RR,male,48,f,Arabic,3,4,5,2018-08-17T17:37:28Z,2018-08-17T18:29:07Z,3099s (~51.65 minutes)
98,standard,opaque,no_picture,RR,male,48,f,English,5,4,5,2018-08-17T17:37:28Z,2018-08-17T18:29:07Z,3099s (~51.65 minutes)
98,standard,opaque,no_picture,RR,male,48,f,French,3,4,5,2018-08-17T17:37:28Z,2018-08-17T18:29:07Z,3099s (~51.65 minutes)
99,standard,opaque,no_picture,RR,male,27,m,English,5,4,5,2018-08-17T17:44:07Z,2018-08-17T18:11:23Z,1636s (~27.27 minutes)
100,standard,opaque,no_picture,RR,male,14,m,German,3,5,5,2018-08-17T17:44:43Z,2018-08-17T18:18:49Z,2046s (~34.1 minutes)
100,standard,opaque,no_picture,RR,male,14,m,Spanish,1,5,5,2018-08-17T17:44:43Z,2018-08-17T18:18:49Z,2046s (~34.1 minutes)
100,standard,opaque,no_picture,RR,male,14,m,English,5,5,5,2018-08-17T17:44:43Z,2018-08-17T18:18:49Z,2046s (~34.1 minutes)
101,dialect,transparent,picture,RR,male,34,m,English,5,4,4,2018-08-17T17:50:41Z,2018-08-17T20:31:01Z,9620s (~2.67 hours)
102,dialect,opaque,picture,RR,female,31,f,English,5,4,4,2018-08-20T13:07:46Z,2018-08-20T14:02:46Z,3300s (~55 minutes)
104,dialect,opaque,picture,RR,female,37,f,English,5,5,5,2018-08-20T13:13:24Z,2018-08-20T14:18:01Z,3877s (~1.08 hours)
104,dialect,opaque,picture,RR,female,37,f,Chinese (Mandarin),3,5,5,2018-08-20T13:13:24Z,2018-08-20T14:18:01Z,3877s (~1.08 hours)
104,dialect,opaque,picture,RR,female,37,f,Spanish,1,5,5,2018-08-20T13:13:24Z,2018-08-20T14:18:01Z,3877s (~1.08 hours)
105,dialect,opaque,picture,RR,female,25,m,English,4,4,4,2018-08-20T13:14:48Z,2018-08-20T13:37:39Z,1371s (~22.85 minutes)
106,dialect,opaque,picture,RR,female,32,f,Polish,3,4,5,2018-08-20T13:15:31Z,2018-08-20T13:59:13Z,2622s (~43.7 minutes)
