participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
146,standard,opaque,picture,RR,female,39,f,French,1,3,4,2018-08-21T18:17:21Z,2018-08-21T18:43:17Z,1556s (~25.93 minutes)
149,standard,opaque,picture,RR,female,25,f,English,5,2,5,2018-08-22T13:23:58Z,2018-08-22T14:36:24Z,4346s (~1.21 hours)
150,dialect,opaque,no_picture,RR,female,33,f,English,5,4,5,2018-08-22T15:45:28Z,2018-08-22T16:17:24Z,1916s (~31.93 minutes)
151,dialect,opaque,no_picture,RR,female,25,m,Spanish,3,5,1,2018-08-22T16:30:00Z,2018-08-22T17:14:56Z,2696s (~44.93 minutes)
151,dialect,opaque,no_picture,RR,female,25,m,English,5,5,1,2018-08-22T16:30:00Z,2018-08-22T17:14:56Z,2696s (~44.93 minutes)
151,dialect,opaque,no_picture,RR,female,25,m,Hindi,4,5,1,2018-08-22T16:30:00Z,2018-08-22T17:14:56Z,2696s (~44.93 minutes)
151,dialect,opaque,no_picture,RR,female,25,m,Bengali,5,5,1,2018-08-22T16:30:00Z,2018-08-22T17:14:56Z,2696s (~44.93 minutes)
152,dialect,opaque,no_picture,RR,female,39,m,English,5,1,5,2018-08-22T16:34:50Z,2018-08-22T17:17:52Z,2582s (~43.03 minutes)
153,dialect,opaque,no_picture,RR,female,31,m,Pidgin,5,3,5,2018-08-22T16:38:41Z,2018-08-22T17:26:11Z,2850s (~47.5 minutes)
153,dialect,opaque,no_picture,RR,female,31,m,Hausa,2,3,5,2018-08-22T16:38:41Z,2018-08-22T17:26:11Z,2850s (~47.5 minutes)
