participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
166,standard,transparent,picture,RW,female,29,f,English,5,4,5,2017-05-04T14:37:28Z,2017-05-04T15:29:13Z,3105s (~51.75 minutes)
166,standard,transparent,picture,RW,female,29,f,French,1,4,5,2017-05-04T14:37:28Z,2017-05-04T15:29:13Z,3105s (~51.75 minutes)
167,standard,transparent,picture,RW,female,28,m,English,5,4,5,2017-05-04T15:21:13Z,2017-05-04T16:40:31Z,4758s (~1.32 hours)
168,standard,transparent,picture,RW,female,40,m,English,5,5,5,2017-05-04T17:24:04Z,2017-05-04T18:38:54Z,4490s (~1.25 hours)
169,dialect,transparent,no_picture,WR,male,33,m,English,5,5,5,2017-05-08T16:49:23Z,2017-05-08T18:02:48Z,4405s (~1.22 hours)
170,dialect,transparent,no_picture,WR,male,29,m,English,5,4,5,2017-05-08T17:03:32Z,2017-05-08T17:55:28Z,3116s (~51.93 minutes)
174,dialect,transparent,no_picture,WR,male,35,m,English,5,4,4,2017-05-09T08:46:00Z,2017-05-09T11:22:37Z,9397s (~2.61 hours)
176,standard,transparent,picture,WR,male,38,m,English,5,5,5,2017-05-09T13:06:12Z,2017-05-09T13:43:13Z,2221s (~37.02 minutes)
177,standard,transparent,picture,WR,male,23,o,Japanese,2,5,5,2017-05-09T17:19:03Z,2017-05-09T18:25:28Z,3985s (~1.11 hours)
177,standard,transparent,picture,WR,male,23,o,French,3,5,5,2017-05-09T17:19:03Z,2017-05-09T18:25:28Z,3985s (~1.11 hours)
177,standard,transparent,picture,WR,male,23,o,English,5,5,5,2017-05-09T17:19:03Z,2017-05-09T18:25:28Z,3985s (~1.11 hours)
178,standard,transparent,picture,WR,male,45,f,Gujarati,5,4,5,2017-05-09T18:15:15Z,2017-05-09T19:44:42Z,5367s (~1.49 hours)
178,standard,transparent,picture,WR,male,45,f,English,5,4,5,2017-05-09T18:15:15Z,2017-05-09T19:44:42Z,5367s (~1.49 hours)
178,standard,transparent,picture,WR,male,45,f,Hindi,4,4,5,2017-05-09T18:15:15Z,2017-05-09T19:44:42Z,5367s (~1.49 hours)
179,standard,transparent,picture,RW,male,22,m,English,5,5,5,2017-05-12T09:13:19Z,2017-05-12T10:33:26Z,4807s (~1.34 hours)
180,standard,transparent,picture,RW,male,42,m,English,5,4,5,2017-05-12T12:25:08Z,2017-05-12T13:30:42Z,3934s (~1.09 hours)
181,dialect,transparent,picture,WR,male,33,m,English,4,1,5,2017-05-12T15:25:13Z,2017-05-12T17:30:32Z,7519s (~2.09 hours)
181,dialect,transparent,picture,WR,male,33,m,Hindi,5,1,5,2017-05-12T15:25:13Z,2017-05-12T17:30:32Z,7519s (~2.09 hours)
185,dialect,transparent,picture,WR,male,36,f,English,5,5,5,2017-05-12T21:20:54Z,2017-05-12T22:24:59Z,3845s (~1.07 hours)
187,dialect,transparent,picture,WR,female,38,f,English,5,5,5,2017-05-15T14:47:40Z,2017-05-15T16:02:10Z,4470s (~1.24 hours)
188,standard,transparent,no_picture,RW,female,59,m,English,5,5,5,2017-05-15T17:56:36Z,2017-05-15T19:28:38Z,5522s (~1.53 hours)
191,standard,transparent,no_picture,WR,female,51,f,English,5,4,4,2017-05-16T16:52:50Z,2017-05-16T18:52:54Z,7204s (~2 hours)
192,dialect,transparent,picture,RW,female,54,f,English,5,4,4,2017-05-16T20:08:10Z,2017-05-16T20:57:24Z,2954s (~49.23 minutes)
194,dialect,transparent,picture,RW,male,30,f,Japanese,5,4,4,2017-05-17T15:14:43Z,2017-05-17T16:04:21Z,2978s (~49.63 minutes)
194,dialect,transparent,picture,RW,male,30,f,English,5,4,4,2017-05-17T15:14:43Z,2017-05-17T16:04:21Z,2978s (~49.63 minutes)
200,dialect,opaque,picture,RW,male,22,f,Spanish,4,4,4,2017-06-20T15:35:20Z,2017-06-20T16:06:33Z,1873s (~31.22 minutes)
200,dialect,opaque,picture,RW,male,22,f,English,5,4,4,2017-06-20T15:35:20Z,2017-06-20T16:06:33Z,1873s (~31.22 minutes)
201,dialect,opaque,picture,RW,male,24,m,English,5,2,5,2017-06-20T15:44:06Z,2017-06-20T16:32:10Z,2884s (~48.07 minutes)
201,dialect,opaque,picture,RW,male,24,m,Spanish,1,2,5,2017-06-20T15:44:06Z,2017-06-20T16:32:10Z,2884s (~48.07 minutes)
206,dialect,opaque,picture,RW,male,22,m,English,5,3,5,2017-06-20T16:45:40Z,2017-06-20T17:12:12Z,1592s (~26.53 minutes)
207,dialect,opaque,picture,RW,male,33,m,English,5,4,5,2017-06-20T16:49:57Z,2017-06-20T17:52:42Z,3765s (~1.05 hours)
208,dialect,opaque,picture,RW,male,37,f,English,5,1,5,2017-06-20T17:26:02Z,2017-06-20T18:32:42Z,4000s (~1.11 hours)
209,dialect,opaque,picture,RW,male,26,m,Telugu,3,5,5,2017-06-20T17:47:25Z,2017-06-20T18:54:14Z,4009s (~1.11 hours)
209,dialect,opaque,picture,RW,male,26,m,Tamil,5,5,5,2017-06-20T17:47:25Z,2017-06-20T18:54:14Z,4009s (~1.11 hours)
209,dialect,opaque,picture,RW,male,26,m,Hindi,3,5,5,2017-06-20T17:47:25Z,2017-06-20T18:54:14Z,4009s (~1.11 hours)
209,dialect,opaque,picture,RW,male,26,m,English,3,5,5,2017-06-20T17:47:25Z,2017-06-20T18:54:14Z,4009s (~1.11 hours)
210,dialect,opaque,picture,RW,male,22,m,English,5,1,5,2017-06-20T17:51:26Z,2017-06-20T18:24:12Z,1966s (~32.77 minutes)
213,standard,opaque,picture,RW,male,31,m,English,5,5,5,2017-06-22T10:04:39Z,2017-06-22T10:58:53Z,3254s (~54.23 minutes)
214,standard,opaque,picture,RW,male,25,m,English,5,5,5,2017-06-22T10:25:01Z,2017-06-22T11:38:46Z,4425s (~1.23 hours)
215,standard,opaque,picture,RW,male,33,m,English,5,5,4,2017-06-22T11:22:11Z,2017-06-22T12:37:41Z,4530s (~1.26 hours)
