"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"127",127,"END","00127XnuGR","uaknEbiOlfsmd","dialect","WR",0,"female","transparent","2017-04-27 20:00:41","2017-04-27 21:24:17",30,"m",5,3,5
"128",128,"END","00128rFvhZ","mldOEnkubsifa","standard","RW",1,"male","transparent","2017-04-27 20:10:22","2017-04-27 21:21:19",48,"f",5,5,5
"129",129,"END","00129TLcGR","akEdlbinmOfsu","dialect","RW",1,"male","transparent","2017-04-27 20:11:15","2017-04-27 20:47:24",21,"f",5,1,5
"130",130,"EXPOSURE2","","niOsbdklmuEfa","standard","RW",0,"male","transparent","2017-04-27 20:17:37","0000-00-00 00:00:00",35,"f",4,0,0
"131",131,"START","","ukEOlsdanimfb","dialect","RW",0,"male","transparent","2017-04-27 20:21:23","0000-00-00 00:00:00",0,"",0,0,0
"132",132,"END","00132wRKsW","aidkEnfsOlmbu","standard","WR",1,"male","transparent","2017-04-27 20:40:15","2017-04-27 22:09:50",23,"m",5,5,5
"133",133,"END","00133eoKCR","mbkluidEaOsnf","dialect","WR",1,"male","transparent","2017-04-27 20:42:00","2017-04-27 22:01:31",30,"m",5,4,4
"134",134,"END","00134bMZaj","aibkOmusdEfln","standard","WR",0,"male","transparent","2017-04-27 20:55:44","2017-04-27 21:42:11",38,"f",5,5,4
"135",135,"END","00135bPvit","dfsOnubkmialE","dialect","WR",0,"male","transparent","2017-04-27 21:06:55","2017-04-27 21:44:38",25,"m",5,5,5
"136",136,"END","00136NHtmV","fkOsbaudmniEl","standard","RW",1,"female","transparent","2017-04-27 21:56:16","2017-04-27 22:58:08",31,"m",5,4,4
"137",137,"DEMOGRAPHICS","","sniukfOamEldb","dialect","RW",1,"female","transparent","2017-04-27 22:23:21","0000-00-00 00:00:00",0,"",0,0,0
"138",138,"R_TR1","","bsdnlkEufiOma","standard","RW",0,"female","transparent","2017-04-27 22:33:32","0000-00-00 00:00:00",26,"m",5,0,0
"139",139,"END","00139LSatT","lEbmnOdkuaifs","dialect","RW",0,"female","transparent","2017-04-27 22:45:24","2017-04-27 23:58:55",33,"m",5,4,5
"140",140,"START","","lEakdinsumfbO","standard","WR",1,"female","transparent","2017-04-27 22:54:55","0000-00-00 00:00:00",0,"",0,0,0
"141",141,"END","00141kNlOu","sdiOmubklfEan","dialect","WR",1,"female","transparent","2017-04-27 23:12:22","2017-04-28 00:15:03",28,"m",5,5,5
